Vmem,tun,Energy
0,7.227434E-01,3.728518E-13
0,7.235344E-01,3.736322E-13
0,7.243258E-01,3.744606E-13
0,7.251173E-01,3.753618E-13
0,7.259091E-01,3.761929E-13
0,7.267010E-01,3.770156E-13
0,7.274932E-01,3.778518E-13
0,7.282855E-01,3.786890E-13
0,7.290780E-01,3.795272E-13
0,7.298708E-01,3.803028E-13
0,7.306636E-01,3.811394E-13
0,7.314567E-01,3.819035E-13
0,7.322500E-01,3.827502E-13
0,7.330434E-01,3.835860E-13
0,7.338370E-01,3.844228E-13
0,7.346308E-01,3.853391E-13
0,7.354248E-01,3.861807E-13
0,7.362189E-01,3.870244E-13
0,7.370132E-01,3.878672E-13
0,7.378076E-01,3.887113E-13
0,7.386022E-01,3.895650E-13
0,7.393969E-01,3.904091E-13
0,7.401919E-01,3.912536E-13
0,7.409869E-01,3.921251E-13
0,7.417821E-01,3.929661E-13
0,7.425775E-01,3.938119E-13
0,7.433730E-01,3.946582E-13
0,7.441686E-01,3.955061E-13
0,7.449644E-01,3.963527E-13
0,7.457603E-01,3.972004E-13
0,7.465564E-01,3.980484E-13
0,7.473527E-01,3.988933E-13
0,7.481490E-01,3.997500E-13
0,7.489455E-01,4.005994E-13
0,7.497422E-01,4.014489E-13
0,7.505390E-01,4.023011E-13
0,7.513358E-01,4.031487E-13
0,7.521328E-01,4.040044E-13
0,7.529300E-01,4.048550E-13
0,7.537273E-01,4.056891E-13
